,Store Hours,Total Breweries
61,"[{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - Midnight""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""11:00 am - 1:00 am""}]",3
62,"[{""day"":""Mon - Sun"",""hour"":""Noon - 9:00 PM""}]",3
63,"[{""day"":""Saturday"",""hour"":""12:00 pm - 9:00 pm""}]",3
64,"[{""day"":""Monday - Sunday"",""hour"":""11:00 am - 11:00 pm""}]",3
65,"[{""day"":""Monday - Sunday"",""hour"":""10:00 am - 4:00 pm""}]",3
66,"[{""day"":""Mon - Sun"",""hour"":""11:00 am - 10:00 pm""}]",3
67,"[{""day"":""Monday - Sunday"",""hour"":""10:00 am - 5:00 pm""}]",3
68,"[{""day"":""Friday - Sunday"",""hour"":""11:00 am - 5:00 pm""}]",3
69,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""10:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""10:00 AM - 12:00 AM""},{""day"":""Saturday"",""hour"":""10:00 am - 1:00 am""},{""day"":""Sun"",""hour"":""10:00 am - 12:00 am""},{""day"":""Mon - Thu"",""hour"":""11:00 am - 12:00 am""},{""day"":""Fri"",""hour"":""11:00 am - 1:00 am""},{""day"":""Sat"",""hour"":""10:00 am - 1:00 am""}]",3
70,"[{""day"":""Monday - Sunday"",""hour"":""10:30 AM - 5:00 PM""},{""day"":""Mon - Sun"",""hour"":""10:30 AM - 5:00 PM""}]",3
71,"[{""day"":""Mon - Sun"",""hour"":""11:00 am - 5:00 pm""}]",3
72,"[{""day"":""Sun"",""hour"":""12:00 PM-10:00 PM""}]",3
73,"[{""day"":""Sun"",""hour"":""11:00 AM-12:00 AM""}]",3
74,"[{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 11:30 PM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - 11:30 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 1:00 AM""}]",2
75,"[{""day"":""Saturday"",""hour"":""12:00 pm - 11:00 pm""}]",2
