_id,Name,Address,City,State,Country,Zip Code,Latitude,Longitude,Hours
ObjectId("5c379680b96ec4c88ad1aab0"),CB & Potts Restaurant and Brewery,6575 S. Greenwood Plaza Blvd,Englewood,CO,US,80111,39.59754,-104.89477,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1aab9"),Pints Pub,221 W 13th Ave,Denver,CO,US,80204,39.737026,-104.99078999999999,"[{""day"":""Monday - Tuesday
ObjectId("5c379680b96ec4c88ad1aaba"),Wonderland Brewing Co,5450 W 120th Ave,Broomfield,CO,US,80020,39.913321999999994,-105.05585500000001,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1aac2"),CB and Potts,555 Zang St,Broomfield,CO,US,80020,39.966526,-105.04556000000001,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad1aac8"),Living the Dream Brewing Co,12305 Dumont Way,Littleton,CO,US,80125,39.54029,-105.03995,"[{""day"":""Wed - Thu
ObjectId("5c379680b96ec4c88ad1ab1c"),Oskar Blues Brewery,1800 Pike Rd,Longmont,CO,US,80501,40.1379,-105.12147,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad1ab20"),Fate Brewing Company,1600 38th St.,Boulder,CO,US,80301-2610,40.015095,-105.24573500000001,"[{""day"":""Mon""
ObjectId("5c379680b96ec4c88ad1ab33"),Rueben's Burger Bistro,1800 Broadway,Boulder,CO,US,80302,40.01687138,-105.2795672,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad1ab37"),Station 26 Brewing Company,7045 E 38th Ave,Denver,CO,US,80207,39.769569399999995,-104.90596770000002,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad1ab44"),Crazy Mountain Brewing Company,439 Edwards Access Road 102,Edwards,CO,US,81632,39.648512,-106.587926,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1ab51"),Powder Keg Brewing Company,101 2nd Ave,Niwot,CO,US,80544-1047,40.10331669,-105.17287549999999,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad1ab6e"),300 Suns Brewing,335 1st Ave,Longmont,CO,US,80501,40.15996795,-105.1009003,"[{""day"":""Fri - Sat""
